Time;AccX;AccY;AccZ;GyX;GyY;GyZ

19,63910,0852;-0,1047;-0,0974;-5,15;6,92;1,47
19,648830,0852;-0,1047;-0,0974;-5,15;6,92;1,47
19,657230,0852;-0,1047;-0,0974;-5,15;6,92;1,47
19,666060,0586;-0,0222;0,0251;-5,8;1,6;0,76
19,675550,0586;-0,0222;0,0251;-5,8;1,6;0,76
19,684130,0142;0,0039;-0,0076;-5,02;3,87;2,58
19,692590,0142;0,0039;-0,0076;-5,02;3,87;2,58
19,701980,0493;0,0088;-0,0256;-6,67;2,85;1,23
19,711950,0493;0,0088;-0,0256;-6,67;2,85;1,23
19,72014-0,0083;0,0098;-0,0039;-5,34;2,76;1,71
19,72849-0,0083;0,0098;-0,0039;-5,34;2,76;1,71
19,73661-0,0083;0,0098;-0,0039;-5,34;2,76;1,71
19,74450,0059;0,0156;-0,0356;-6,5;3,01;0,6
19,752410,0059;0,0156;-0,0356;-6,5;3,01;0,6
19,760520,0059;0,0156;-0,0356;-6,5;3,01;0,6
19,76850,0212;0,0076;-0,0046;-6,47;2,82;1,54
19,776970,0212;0,0076;-0,0046;-6,47;2,82;1,54
19,785080,0312;0,0039;0;-6,1;2,77;1,5
19,793140,0312;0,0039;0;-6,1;2,77;1,5
19,801150,0315;-0,0039;-0,0056;-6,02;2,85;1,66
19,809180,0315;-0,0039;-0,0056;-6,02;2,85;1,66
19,817680,0315;-0,0039;-0,0056;-6,02;2,85;1,66
19,826380,0242;0,0034;0,0002;-6,11;2,87;1,53
19,834740,0312;-0,0007;-0,0073;-6,03;3,18;1,8
19,844020,0312;-0,0007;-0,0073;-6,03;3,18;1,8
19,852950,0312;-0,0007;-0,0073;-6,03;3,18;1,8
19,861510,0291;0,0005;-0,0115;-6,23;2,91;1,75
19,87080,0291;0,0005;-0,0115;-6,23;2,91;1,75
19,880430,0244;0,0039;-0,0061;-6,13;2,95;1,72
19,88860,0244;0,0039;-0,0061;-6,13;2,95;1,72
19,897840,0244;0,0039;-0,0061;-6,13;2,95;1,72
19,906980,0242;0,0063;-0,0107;-6,15;2,87;1,62
19,9180,0242;0,0063;-0,0107;-6,15;2,87;1,62
19,927850,0254;0,0049;0,0081;-6,15;2,85;1,62
19,938350,0222;0,001;-0,0098;-6,15;2,9;1,81
19,949020,0222;0,001;-0,0098;-6,15;2,9;1,81
19,960020,0325;0,0071;-0,0017;-6,04;2,86;1,6
19,970580,0325;0,0071;-0,0017;-6,04;2,86;1,6
19,983790,0293;0,0012;-0,0015;-6;2,78;1,71
19,997570,0293;0,0012;-0,0015;-6;2,78;1,71
20,016160,0298;0,0029;-0,0066;-6,07;2,85;1,62
20,027410,0298;0,0029;-0,0066;-6,07;2,85;1,62
20,037920,0298;0,0029;-0,0066;-6,07;2,85;1,62
20,047830,0251;0,0017;0,0085;-6,03;3,04;1,67
20,056930,0251;0,0017;0,0085;-6,03;3,04;1,67
20,066540,0251;0,0017;0,0085;-6,03;3,04;1,67
20,076410,0276;0,0032;-0,0049;-5,94;2,77;1,63
20,086170,0308;0,0083;0,0039;-6,09;2,89;1,6
20,095280,0308;0,0083;0,0039;-6,09;2,89;1,6
20,104030,0295;0,0027;-0,0017;-5,99;2,9;1,6
20,112330,0295;0,0027;-0,0017;-5,99;2,9;1,6
20,122860,0264;-0,0029;-0,0027;-6,08;2,76;1,5
20,131810,0264;-0,0029;-0,0027;-6,08;2,76;1,5
20,141560,0266;0,0049;-0,0015;-6,05;2,97;1,65
20,15060,0266;0,0049;-0,0015;-6,05;2,97;1,65
20,159980,0317;0,0015;-0,0159;-6,12;3,03;1,56
