Time;AccX;AccY;AccZ;GyX;GyY;GyZ

42,683330,0283;0,0049;-0,0068;-6,04;2,71;1,7
42,698420,0273;-0,0037;-0,0037;-6,05;2,79;1,63
42,707410,0273;-0,0037;-0,0037;-6,05;2,79;1,63
42,723240,0271;0,0024;-0,0046;-6,18;3;1,54
42,733020,0256;-0,0034;-0,0056;-6,05;2,95;1,53
42,742530,0256;-0,0034;-0,0056;-6,05;2,95;1,53
42,752220,0317;0,0034;-0,0088;-6,17;2,73;1,56
42,762070,0317;0,0034;-0,0088;-6,17;2,73;1,56
42,772750,0327;0,0049;-0,001;-6,17;2,82;1,65
42,787030,0327;0,0049;-0,001;-6,17;2,82;1,65
42,796550,0266;0,0029;-0,0073;-5,92;3,02;1,56
42,805160,0266;0,0029;-0,0073;-5,92;3,02;1,56
42,815220,0244;0,0002;0,0007;-5,98;2,83;1,66
42,82480,0244;0,0002;0,0007;-5,98;2,83;1,66
42,833330,0251;0,0029;-0,0081;-6,05;3;1,43
42,842190,0251;0,0029;-0,0081;-6,05;3;1,43
42,851210,0251;0,0029;-0,0081;-6,05;3;1,43
42,861570,0325;-0,0005;-0,0073;-6,01;2,9;1,71
42,874470,03;0;0,0051;-6,34;3,03;1,58
42,888140,03;0;0,0051;-6,34;3,03;1,58
42,896770,0312;0,0015;-0,0005;-5,98;2,96;1,53
42,905460,0312;0,0015;-0,0005;-5,98;2,96;1,53
42,914130,0322;0,0007;-0,0034;-5,92;3,11;1,66
42,924820,0322;0,0007;-0,0034;-5,92;3,11;1,66
42,933280,0322;0,0007;-0,0034;-5,92;3,11;1,66
42,941960,0264;0,0027;-0,0012;-6,08;2,76;1,45
42,95150,0264;0,0027;-0,0012;-6,08;2,76;1,45
42,965260,0298;0,0007;-0,0027;-5,89;3,04;1,6
42,979340,0254;0;0,0056;-6,09;2,79;1,56
42,993930,0254;0;0,0056;-6,09;2,79;1,56
43,007820,0356;0,0037;-0,0066;-6,15;3,02;1,63
43,02130,0278;0,0024;-0,001;-5,95;2,93;1,63
43,035150,0278;0,0024;-0,001;-5,95;2,93;1,63
43,046640,0288;-0,0046;-0,0085;-5,97;3,1;1,74
43,056520,0305;-0,0012;-0,0056;-6,06;2,93;1,52
43,066850,0305;-0,0012;-0,0056;-6,06;2,93;1,52
43,076550,0229;0,0034;0,0042;-6,02;2,83;1,54
43,086720,0229;0,0034;0,0042;-6,02;2,83;1,54
43,100940,0286;0;-0,0066;-6,03;3,05;1,5
43,110940,0286;0;-0,0066;-6,03;3,05;1,5
43,121140,0312;0,0007;-0,0085;-6,18;2,91;1,53
43,138150,0271;0,0027;-0,0088;-5,9;2,96;1,73
43,152240,0271;0,0027;-0,0088;-5,9;2,96;1,73
43,166640,022;-0,001;-0,0103;-6,11;2,99;1,73
43,177010,0337;0,0039;-0,0022;-6,26;2,93;1,75
