Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,931639;-0,001;0,0005;-0,0002;-0,1;2,7;1,29;0;0,0491;-0,063;-9,73;-0,52;-1,34;-0,1839;0,7566;0,1668;0,0375;1,6509;20,6807;-0,1777;0,7533;0,2302;0,0375;1,6509;20,6807;0,0197;0,9667;0,2808;2,7639;3,2643;1,7065;0,0132;0,9649;0,3443;2,7639;3,2643;1,7065
2;5,958797;-0,0029;0,002;-0,0039;0,03;2,82;1,3;0;0,0464;-0,0615;-8,78;-2,16;0,51;-0,1837;0,7563;0,1669;0,0117;1,5933;20,6863;-0,1776;0,7529;0,2302;0,0117;1,5933;20,6863;0,0202;0,9653;0,2812;2,8800;3,3272;1,5235;0,0137;0,9637;0,3447;2,8800;3,3272;1,5235
3;5,986404;-0,0002;-0,0012;-0,001;0;2,89;1,16;0;0,0518;-0,0693;-8,24;-2,28;-0,41;-0,1837;0,7564;0,1670;0,1151;1,5910;20,6687;-0,1776;0,7529;0,2303;0,1151;1,5910;20,6687;0,0201;0,9651;0,2812;2,9094;3,3723;1,2635;0,0135;0,9635;0,3448;2,9094;3,3723;1,2635
4;6,01429;-0,0002;0,0002;-0,0022;-0,05;2,73;1,13;0;0,0417;-0,0732;-9,53;-3,18;-2,47;-0,1838;0,7568;0,1670;0,1619;1,6361;20,5621;-0,1776;0,7532;0,2303;0,1619;1,6361;20,5621;0,0201;0,9649;0,2814;2,9115;3,3589;1,2283;0,0136;0,9633;0,3450;2,9115;3,3589;1,2283
5;6,042251;-0,0073;-0,0046;-0,0034;-0,06;2,67;1,21;0;0,0435;-0,0735;-10,47;-3,07;-3,34;-0,1838;0,7571;0,1669;0,3184;1,7539;20,2424;-0,1775;0,7533;0,2302;0,3184;1,7539;20,2424;0,0202;0,9647;0,2815;2,9282;3,3689;1,1928;0,0136;0,9631;0,3450;2,9282;3,3689;1,1928
6;6,070181;-0,0007;-0,002;-0,0027;0,02;2,69;1,11;0;0,0386;-0,0623;-10,76;-1,44;-3,12;-0,1839;0,7573;0,1669;0,3098;1,7799;20,2181;-0,1775;0,7536;0,2301;0,3098;1,7799;20,2181;0,0203;0,9648;0,2818;2,9276;3,3479;1,2021;0,0138;0,9631;0,3453;2,9276;3,3479;1,2021
7;6,098277;-0,001;0,0027;-0,0005;-0,03;2,89;1,18;0;0,0383;-0,0557;-11,21;1,67;-2,49;-0,1838;0,7569;0,1668;0,2688;1,7892;20,2070;-0,1775;0,7532;0,2301;0,2688;1,7892;20,2070;0,0204;0,9645;0,2820;3,0037;3,3158;1,2051;0,0139;0,9630;0,3456;3,0037;3,3158;1,2051
8;6,125998;0,0029;-0,002;-0,0024;0,05;2,71;1,13;0;0,031;-0,0498;-10,26;-0,58;-2,63;-0,1837;0,7567;0,1669;0,2301;1,7818;20,1885;-0,1774;0,7530;0,2302;0,2301;1,7818;20,1885;0,0206;0,9637;0,2827;3,0655;3,2798;1,1892;0,0142;0,9622;0,3462;3,0655;3,2798;1,1892
9;6,1536;0,0027;0,0012;-0,0034;-0,24;2,57;0,89;0;0,0303;-0,0657;-7,92;-5,19;-1,81;-0,1838;0,7566;0,1670;0,2305;1,7625;20,1867;-0,1775;0,7529;0,2303;0,2305;1,7625;20,1867;0,0205;0,9637;0,2826;3,0488;3,2928;1,1780;0,0141;0,9622;0,3462;3,0488;3,2928;1,1780
10;6,182114;0,0007;0,0005;-0,0024;-0,08;2,61;1,15;0;0,0342;-0,0586;-7,19;-3,62;-1,44;-0,1839;0,7568;0,1669;0,2101;1,7646;20,1109;-0,1776;0,7532;0,2302;0,2101;1,7646;20,1109;0,0208;0,9638;0,2824;2,9843;3,3226;1,1826;0,0143;0,9622;0,3460;2,9843;3,3226;1,1826
11;6,2095;0,0007;0,0002;-0,0015;0,01;2,81;1,45;0;0,041;-0,0601;-6,77;-1,47;-0,46;-0,1838;0,7569;0,1666;0,1858;1,7434;20,0837;-0,1775;0,7532;0,2299;0,1858;1,7434;20,0837;0,0210;0,9638;0,2824;2,8935;3,3446;1,1267;0,0145;0,9622;0,3460;2,8935;3,3446;1,1267
12;6,237948;-0,002;-0,0002;-0,0017;-0,3;2,8;0,98;0;0,0449;-0,0696;-6,54;0,81;-0,69;-0,1836;0,7567;0,1665;0,1582;1,6675;19,9874;-0,1774;0,7531;0,2298;0,1582;1,6675;19,9874;0,0213;0,9637;0,2827;2,9325;3,3574;1,0522;0,0148;0,9620;0,3463;2,9325;3,3574;1,0522
13;6,264937;-0,0034;-0,0022;0;-0,12;2,65;1,07;0;0,0449;-0,0662;-7,08;0,1;-1,03;-0,1834;0,7567;0,1668;0,2190;1,6333;19,9610;-0,1772;0,7530;0,2301;0,2190;1,6333;19,9610;0,0212;0,9635;0,2828;2,9510;3,3700;1,0172;0,0147;0,9619;0,3463;2,9510;3,3700;1,0172
14;6,29282;0,0029;-0,0027;0;-0,17;2,74;1,08;0;0,053;-0,0659;-6,88;-1,56;-1,13;-0,1834;0,7567;0,1670;0,2792;1,6217;19,9619;-0,1773;0,7530;0,2303;0,2792;1,6217;19,9619;0,0212;0,9635;0,2831;2,9599;3,3515;1,0085;0,0147;0,9619;0,3467;2,9599;3,3515;1,0085
15;6,32051;0,0005;-0,0054;-0,0015;-0,15;2,9;1,25;0;0,0427;-0,0754;-6,47;-0,39;-2,12;-0,1835;0,7569;0,1669;0,2602;1,6161;20,0240;-0,1774;0,7532;0,2302;0,2602;1,6161;20,0240;0,0210;0,9635;0,2832;3,0936;3,3461;1,0504;0,0146;0,9620;0,3468;3,0936;3,3461;1,0504
16;6,34855;-0,0037;-0,0012;-0,0002;-0,05;2,7;1,21;0;0,0491;-0,0657;-6,33;0,4;-2,67;-0,1838;0,7572;0,1669;0,2151;1,6163;20,0310;-0,1776;0,7535;0,2302;0,2151;1,6163;20,0310;0,0208;0,9632;0,2834;3,2773;3,2287;1,1408;0,0145;0,9619;0,3471;3,2773;3,2287;1,1408
17;6,376325;0,001;0,0012;0,0007;-0,11;2,8;1,11;0;0,051;-0,0728;-6,37;1,43;-2,89;-0,1837;0,7574;0,1669;0,2115;1,6423;20,0694;-0,1776;0,7537;0,2302;0,2115;1,6423;20,0694;0,0207;0,9630;0,2836;3,4663;3,0164;1,3025;0,0146;0,9620;0,3472;3,4663;3,0164;1,3025
18;6,404334;0,001;-0,0015;-0,0037;-0,07;2,6;1,08;0;0,0547;-0,0723;-6,59;0,63;-2,88;-0,1837;0,7575;0,1668;0,2434;1,6228;20,1021;-0,1775;0,7538;0,2301;0,2434;1,6228;20,1021;0,0206;0,9634;0,2834;3,4728;3,0394;1,3526;0,0145;0,9623;0,3470;3,4728;3,0394;1,3526
19;6,432124;0,0012;-0,0029;-0,002;-0,02;2,67;1,18;0;0,053;-0,0649;-6,32;1,68;-2,58;-0,1834;0,7577;0,1668;0,2706;1,6191;20,1388;-0,1773;0,7539;0,2301;0,2706;1,6191;20,1388;0,0207;0,9636;0,2836;3,4609;3,0685;1,4099;0,0145;0,9626;0,3473;3,4609;3,0685;1,4099
20;6,463111;0,001;-0,0012;-0,0022;0,07;2,61;1,16;0;0,0408;-0,0657;-6,53;1,86;-2,43;-0,1834;0,7576;0,1669;0,2916;1,5970;20,1689;-0,1773;0,7538;0,2302;0,2916;1,5970;20,1689;0,0209;0,9638;0,2838;3,4793;3,1056;1,4662;0,0146;0,9628;0,3474;3,4793;3,1056;1,4662
21;6,494964;-0,001;0,0032;-0,0012;-0,19;2,63;0,95;0;0,0476;-0,0696;-6,18;1,4;-2,19;-0,1835;0,7573;0,1671;0,2879;1,5994;20,1660;-0,1774;0,7535;0,2304;0,2879;1,5994;20,1660;0,0208;0,9642;0,2838;3,4478;3,1298;1,4992;0,0146;0,9632;0,3474;3,4478;3,1298;1,4992
22;6,52993;0,0054;0;-0,0024;-0,12;2,69;1,18;0;0,0574;-0,0691;-6,7;2,18;-2,1;-0,1837;0,7570;0,1674;0,2754;1,6470;20,1818;-0,1775;0,7533;0,2307;0,2754;1,6470;20,1818;0,0205;0,9650;0,2836;3,3978;3,0623;1,5151;0,0143;0,9639;0,3473;3,3978;3,0623;1,5151
