Frame;Time;Acc1X;Acc1Y;Acc1Z;Gy1X;Gy1Y;Gy1Z;Acc2X;Acc2Y;Acc2Z;Gy2X;Gy2Y;Gy2Z;WristLX;WristLY;WristLZ;WristLRotX;WristLRotY;WristLRotZ;PalmLX;PalmLY;PalmLZ;PalmLRotX;PalmLRotY;PalmLRotZ;WristRX;WristRY;WristRZ;WristRRotX;WristRRotY;WristRRotZ;PalmRX;PalmRY;PalmRZ;PalmRRotX;PalmRRotY;PalmRRotZ
1;5,006628;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0247;0,9813;0,2637;-3,1430;-15,8966;-1,8815;0,0043;0,9802;0,3242;-3,1430;-15,8966;-1,8815
2;5,034407;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0252;0,9799;0,2647;-3,5700;-16,1811;-1,3529;0,0046;0,9791;0,3251;-3,5700;-16,1811;-1,3529
3;5,062094;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0264;0,9782;0,2639;-4,9163;-17,6476;-0,6172;0,0043;0,9789;0,3237;-4,9163;-17,6476;-0,6172
4;5,090528;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0283;0,9758;0,2629;-5,8688;-18,9120;-0,3126;0,0049;0,9776;0,3223;-5,8688;-18,9120;-0,3126
5;5,118027;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0299;0,9736;0,2630;-6,3221;-19,7524;-0,4998;0,0056;0,9758;0,3219;-6,3221;-19,7524;-0,4998
6;5,145535;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0301;0,9726;0,2634;-6,7187;-19,8676;-1,3125;0,0056;0,9754;0,3223;-6,7187;-19,8676;-1,3125
7;5,173374;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0298;0,9723;0,2629;-7,7171;-19,9315;-1,8086;0,0053;0,9762;0,3217;-7,7171;-19,9315;-1,8086
8;5,201651;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0294;0,9711;0,2621;-8,5224;-20,0666;-1,9229;0,0048;0,9759;0,3208;-8,5224;-20,0666;-1,9229
9;5,229244;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0283;0,9699;0,2615;-8,9173;-20,3379;-1,2549;0,0034;0,9752;0,3201;-8,9173;-20,3379;-1,2549
10;5,25737;0;0;0;0;0;0;0;0;0;0;0;0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0011;-0,0058;0,0646;0,0000;0,0000;0,0000;0,0263;0,9689;0,2610;-8,8367;-20,7084;-0,9002;0,0010;0,9740;0,3194;-8,8367;-20,7084;-0,9002
